player_id,career_player_name,career_bowling_type,career_bowling_hand,career_batting_type,career_batting_hand,career_date_of_birth,career_wicket_keeper,career_batting_innings,career_batting_runs,career_batting_balls,career_batting_fours,career_batting_sixes,career_batting_dismissals,career_bat_sr,career_bat_avg,career_boundary_pct,career_bowling_innings,career_bowling_runs_conceded,career_bowling_balls,career_bowling_wickets,career_bow_econ,career_bow_sr,career_matches_played,career_pct_as_wk,career_avg_batting_order,career_is_capped,career_is_uncapped,career_dob_parsed,career_age_days,career_age_years,career_role_guess,career_bat_runs_per_100,career_bow_wickets_per_100,career_played_in_ipl,m12_player_name,m12_bowling_type,m12_bowling_hand,m12_batting_type,m12_batting_hand,m12_date_of_birth,m12_wicket_keeper,m12_batting_innings,m12_batting_runs,m12_batting_balls,m12_batting_fours,m12_batting_sixes,m12_batting_dismissals,m12_bat_sr,m12_bat_avg,m12_boundary_pct,m12_bowling_innings,m12_bowling_runs_conceded,m12_bowling_balls,m12_bowling_wickets,m12_bow_econ,m12_bow_sr,m12_matches_played,m12_pct_as_wk,m12_avg_batting_order,m12_is_capped,m12_is_uncapped,m12_dob_parsed,m12_age_days,m12_age_years,m12_role_guess,m12_bat_runs_per_100,m12_bow_wickets_per_100,m12_played_in_ipl,m24_player_name,m24_bowling_type,m24_bowling_hand,m24_batting_type,m24_batting_hand,m24_date_of_birth,m24_wicket_keeper,m24_batting_innings,m24_batting_runs,m24_batting_balls,m24_batting_fours,m24_batting_sixes,m24_batting_dismissals,m24_bat_sr,m24_bat_avg,m24_boundary_pct,m24_bowling_innings,m24_bowling_runs_conceded,m24_bowling_balls,m24_bowling_wickets,m24_bow_econ,m24_bow_sr,m24_matches_played,m24_pct_as_wk,m24_avg_batting_order,m24_is_capped,m24_is_uncapped,m24_dob_parsed,m24_age_days,m24_age_years,m24_role_guess,m24_bat_runs_per_100,m24_bow_wickets_per_100,m24_played_in_ipl,runs_death,runs_middle,runs_powerplay,balls_death,balls_middle,balls_powerplay,sr_death,sr_middle,sr_powerplay,bnd_pct_death,bnd_pct_middle,bnd_pct_powerplay,pres_sr_death,pres_sr_middle,pres_sr_powerplay,chase_sr_death,chase_sr_middle,chase_sr_powerplay,econ_death,econ_middle,econ_powerplay,wk_per100_death,wk_per100_middle,wk_per100_powerplay,run_pref_phase,wk_pref_phase,v_mean_r100,v_std_r100,v_venues_count,venue_fit_score,runs_slope,wk_slope
1018,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,2,39,42,2,5.571428571428571,21,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,13220,36.19,top/middle,111.23348017621146,4.761904761904762,TRUE,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,2,39,42,2,5.571428571428571,21,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,12855,35.2,top/middle,111.23348017621146,4.761904761904762,TRUE,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,2,39,42,2,5.571428571428571,21,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,12489,34.19,top/middle,111.23348017621146,4.761904761904762,TRUE,53,294,158,49,248,157,108.16326530612245,118.54838709677419,100.63694267515923,12.244897959183673,12.903225806451612,15.286624203821656,118.42105263157895,125.50335570469798,100,100,116.82242990654206,81.81818181818181,,6.25,4.666666666666667,,4.166666666666667,5.555555555555555,middle,powerplay,75.77538092792331,66.22899488783895,3,1.127123513512922,35.499999999999964,
1028,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,7,162,134,5,7.253731343283582,26.8,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,13177,36.08,finishing allrounder,112.5,3.7313432835820897,TRUE,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,7,162,134,5,7.253731343283582,26.8,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,12812,35.08,finishing allrounder,112.5,3.7313432835820897,TRUE,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,7,162,134,5,7.253731343283582,26.8,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,12446,34.08,finishing allrounder,112.5,3.7313432835820897,TRUE,9,,,8,,,112.5,,,12.5,,,112.5,,,0,,,11.4,,,5,,,death,death,112.5,,1,112.5,,4.999999999999998
1030,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,13551,37.1,opener,101.88679245283019,,FALSE,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,13186,36.1,opener,101.88679245283019,,FALSE,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,12820,35.1,opener,101.88679245283019,,FALSE,,21,33,,17,36,,123.52941176470588,91.66666666666667,,11.764705882352942,8.333333333333334,,,68.75,,,,,,,,,,powerplay,middle,101.88679245283019,,1,101.88679245283019,,
1031,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,14177,38.81,opener,89.13043478,,FALSE,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,13812,37.82,opener,89.13043478,,FALSE,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,13446,36.81,opener,89.13043478,,FALSE,,12,29,,20,26,,60,111.53846153846153,,0,19.23076923076923,,60,111.53846153846153,,60,120,,,,,,,powerplay,middle,89.13043478,,1,89.13043478,,
1033,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14982,41.02,top/middle,138.80597014925374,,FALSE,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14617,40.02,top/middle,138.80597014925374,,FALSE,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14251,39.02,top/middle,138.80597014925374,,FALSE,,74,19,,54,13,,137.03703703703704,146.15384615384616,,18.51851851851852,30.76923076923077,,154.34782608695653,146.15384615384616,,73.33333333333333,136.36363636363637,,,,,,,middle,middle,101.15248226950355,64.23647773404514,3,1.5505509460808125,-37.5,
1039,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,38,952,672,91,22,0,141.66666666666666,,16.81547619047619,6,109,81,1,8.074074074074074,81,41,0,4,TRUE,FALSE,12/18/1991,12397,33.94,top/middle,141.66666666666666,1.2345679012345678,TRUE,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,35,897,625,88,21,0,143.52,,17.44,4,86,56,1,9.214285714285714,56,38,0,4.026315789473684,TRUE,FALSE,12/18/1991,12032,32.94,top/middle,143.52,1.7857142857142858,TRUE,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,23,539,386,56,11,0,139.63730569948186,,17.357512953367877,,,,,,,26,0,4.076923076923077,TRUE,FALSE,12/18/1991,11666,31.94,top/middle,139.63730569948186,,TRUE,220,497,235,127,349,196,173.22834645669292,142.40687679083095,119.89795918367346,21.25984251968504,14.040114613180515,18.877551020408163,182.14285714285714,138.1443298969072,130,151.42857142857142,128.8135593220339,130,9.36,7.68,6,4,0,0,middle,death,117.7682359354935,47.39466549792086,10,2.4334962278136434,114.99999999999999,
1040,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,23,669,517,66,21,0,129.40038684719536,,16.827852998065765,,,,,,,23,0,4.695652173913044,TRUE,FALSE,8/11/1991,12526,34.29,top/middle,129.40038684719536,,TRUE,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,10,270,224,25,7,0,120.53571428571429,,14.285714285714286,,,,,,,10,0,4.4,TRUE,FALSE,8/11/1991,12161,33.3,top/middle,120.53571428571429,,TRUE,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,7,191,160,21,4,0,119.375,,15.625,,,,,,,7,0,3.7142857142857144,TRUE,FALSE,8/11/1991,11795,32.29,top/middle,119.375,,TRUE,169,353,147,91,299,127,185.71428571428572,118.06020066889631,115.74803149606299,26.373626373626372,13.71237458,17.322834645669293,155.76923076923077,115.11111111111111,73.97260273972603,100,118.96551724137932,76.92307692307692,,,,,,,middle,death,128.89886562404774,49.025571657436025,9,2.576659523387728,72.1,
1045,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,1,38,18,0,12.666666666666666,,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14802,40.53,finisher,190.9090909090909,0,TRUE,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,1,38,18,0,12.666666666666666,,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14437,39.53,finisher,190.9090909090909,0,TRUE,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,1,38,18,0,12.666666666666666,,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14071,38.52,finisher,190.9090909090909,0,TRUE,21,,,11,,,190.9090909090909,,,27.272727272727273,,,133.33333333333334,,,,,,,,,,,,death,death,256.25,203.2931995911324,2,1.2543246692148966,,
1063,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14756,40.4,top/middle,133.2,,FALSE,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14391,39.4,top/middle,133.2,,FALSE,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14025,38.4,top/middle,133.2,,FALSE,39,153,141,31,118,101,125.80645161290323,129.66101694915255,139.6039603960396,12.903225806451612,15.254237288135593,25.742574257425744,125.80645161290323,125.53191489361703,165.625,121.73913043478261,117.5,122.72727272727273,,,,,,,middle,death,125.0093808630394,23.61054955137844,3,5.079503836436582,,
107,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,5,69,66,5,6.2727272727272725,13.2,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,16476,45.11,finishing allrounder,126.3157894736842,7.575757575757576,FALSE,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,5,69,66,5,6.2727272727272725,13.2,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,16111,44.11,finishing allrounder,126.3157894736842,7.575757575757576,FALSE,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,5,69,66,5,6.2727272727272725,13.2,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,15745,43.11,finishing allrounder,126.3157894736842,7.575757575757576,FALSE,30,51,15,16,49,11,187.5,104.08163265306122,136.36363636363637,25,10.204081632653061,27.272727272727273,100,110.8108108108108,136.36363636363637,,107.6923076923077,136.36363636363637,10,3,6.666666666666667,16.666666666666668,5.555555555555555,5.555555555555555,middle,death,114.83660130718954,66.90518653771579,6,1.6911315197316654,,
1071,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,28,261,217,22,9,0,120.27649769585254,,14.285714285714286,59,1640,1296,69,7.592592592592593,18.782608695652176,59,0,8.864406779661017,TRUE,FALSE,10/18/1991,12458,34.11,finishing allrounder,120.27649769585254,5.324074074074074,TRUE,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,25,247,200,20,9,0,123.5,,14.5,44,1231,958,48,7.709812108559499,19.958333333333332,44,0,8.75,TRUE,FALSE,10/18/1991,12093,33.11,finishing allrounder,123.5,5.010438413361169,TRUE,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,20,223,173,18,8,0,128.90173410404626,,15.028901734104046,32,893,740,39,7.2405405405405405,18.974358974358974,32,0,8.1875,TRUE,FALSE,10/18/1991,11727,32.11,finishing allrounder,128.90173410404626,5.27027027,TRUE,188,73,,141,76,,133.33333333333334,96.05263157894737,,17.02127659574468,9.210526315789474,,130.3370786516854,89.13043478,,128,0,,9.077809798270893,7.815384615384615,,8.645533141210375,4.615384615384615,,death,death,161.35508340865485,134.25215106805726,14,1.192994582,-20.6,0.6000000000000001
1077,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,84,1878,1361,136,91,0,137.98677443056576,,16.67891256429096,,,,,,,91,0,5.230769230769231,TRUE,FALSE,6/10/1989,13318,36.46,finisher,137.98677443056576,,TRUE,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,73,1643,1196,119,79,0,137.37458193979933,,16.555183946488295,,,,,,,79,0,5.177215189873418,TRUE,FALSE,6/10/1989,12953,35.46,finisher,137.37458193979933,,TRUE,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,55,1262,898,87,62,0,140.53452115812917,,16.592427616926503,,,,,,,61,0,5.229508196721311,TRUE,FALSE,6/10/1989,12587,34.46,finisher,140.53452115812917,,TRUE,833,971,74,535,740,86,155.70093457943926,131.21621621621622,86.04651162790698,20,14.864864864864865,11.627906976744185,143.14720812182742,126.03938730853392,92.10526315789474,142.7927927927928,118.94736842105263,80,,,,,,,middle,death,133.72478396734806,65.16911212493268,32,2.0209547880114327,-41.9,
1082,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,13347,36.54,top/middle,141.26984126984127,,FALSE,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,12982,35.54,top/middle,141.26984126984127,,FALSE,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,12616,34.54,top/middle,141.26984126984127,,FALSE,44,15,30,16,19,28,275,78.94736842105263,107.14285714285714,43.75,5.2631578947368425,17.857142857142858,,,,,100,73.33333333333333,,,,,,,death,death,143.03030303030303,52.283046851368965,2,2.684349178253275,,
1086,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13736,37.61,top/middle,136.36363636363637,,FALSE,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13371,36.61,top/middle,136.36363636363637,,FALSE,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13005,35.61,top/middle,136.36363636363637,,FALSE,,27,18,,19,14,,142.10526315789474,128.57142857142858,,21.05263157894737,28.571428571428573,,142.10526315789474,128.57142857142858,,,,,,,,,,middle,middle,136.36363636363637,,1,136.36363636363637,,
