player_id,career_player_name,career_bowling_type,career_bowling_hand,career_batting_type,career_batting_hand,career_date_of_birth,career_wicket_keeper,career_batting_innings,career_batting_runs,career_batting_balls,career_batting_fours,career_batting_sixes,career_batting_dismissals,career_bat_sr,career_bat_avg,career_boundary_pct,career_dot_ball_pct,career_bowling_innings,career_bowling_runs_conceded,career_bowling_balls,career_bowling_wickets,career_bow_econ,career_bow_sr,career_wickets_per_100_balls,career_matches_played,career_pct_matches_as_wk,career_avg_batting_order,career_is_capped,career_is_uncapped,career_dob_parsed,career_age_days,career_age_years,career_role_guess,career_bat_runs_per_100,career_bat_impact_proxy,career_bow_wickets_per_100,career_bow_impact_proxy,career_played_in_ipl,m12_player_name,m12_bowling_type,m12_bowling_hand,m12_batting_type,m12_batting_hand,m12_date_of_birth,m12_wicket_keeper,m12_batting_innings,m12_batting_runs,m12_batting_balls,m12_batting_fours,m12_batting_sixes,m12_batting_dismissals,m12_bat_sr,m12_bat_avg,m12_boundary_pct,m12_dot_ball_pct,m12_bowling_innings,m12_bowling_runs_conceded,m12_bowling_balls,m12_bowling_wickets,m12_bow_econ,m12_bow_sr,m12_wickets_per_100_balls,m12_matches_played,m12_pct_matches_as_wk,m12_avg_batting_order,m12_is_capped,m12_is_uncapped,m12_dob_parsed,m12_age_days,m12_age_years,m12_role_guess,m12_bat_runs_per_100,m12_bat_impact_proxy,m12_bow_wickets_per_100,m12_bow_impact_proxy,m12_played_in_ipl,m24_player_name,m24_bowling_type,m24_bowling_hand,m24_batting_type,m24_batting_hand,m24_date_of_birth,m24_wicket_keeper,m24_batting_innings,m24_batting_runs,m24_batting_balls,m24_batting_fours,m24_batting_sixes,m24_batting_dismissals,m24_bat_sr,m24_bat_avg,m24_boundary_pct,m24_dot_ball_pct,m24_bowling_innings,m24_bowling_runs_conceded,m24_bowling_balls,m24_bowling_wickets,m24_bow_econ,m24_bow_sr,m24_wickets_per_100_balls,m24_matches_played,m24_pct_matches_as_wk,m24_avg_batting_order,m24_is_capped,m24_is_uncapped,m24_dob_parsed,m24_age_days,m24_age_years,m24_role_guess,m24_bat_runs_per_100,m24_bat_impact_proxy,m24_bow_wickets_per_100,m24_bow_impact_proxy,m24_played_in_ipl
1018,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,86.34361233480176,2,39,42,2,5.571428571428571,21,4.761904761904762,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,13220,36.19,top/middle,111.23348017621146,497.4512460957682,4.761904761904762,0.8547008547008548,TRUE,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,86.34361233480176,2,39,42,2,5.571428571428571,21,4.761904761904762,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,12855,35.2,top/middle,111.23348017621146,497.4512460957682,4.761904761904762,0.8547008547008548,TRUE,Pavan Deshpande,Right-arm offbreak,R,Left-hand bat,L,16/09/89,0,20,505,454,49,13,0,111.23348017621146,,13.656387665198238,86.34361233480176,2,39,42,2,5.571428571428571,21,4.761904761904762,21,0,3.8095238095238093,FALSE,TRUE,9/16/1989,12489,34.19,top/middle,111.23348017621146,497.4512460957682,4.761904761904762,0.8547008547008548,TRUE
1028,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,87.5,7,162,134,5,7.253731343283582,26.8,3.7313432835820897,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,13177,36.08,finishing allrounder,112.5,159.0990257669732,3.7313432835820897,0.514403292,TRUE,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,87.5,7,162,134,5,7.253731343283582,26.8,3.7313432835820897,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,12812,35.08,finishing allrounder,112.5,159.0990257669732,3.7313432835820897,0.514403292,TRUE,Varun Aaron,Right-arm fast-medium,R,Right-hand bat,R,29/10/89,0,2,9,8,0,1,0,112.5,,12.5,87.5,7,162,134,5,7.253731343283582,26.8,3.7313432835820897,7,0,10.714285714285714,FALSE,TRUE,10/29/1989,12446,34.08,finishing allrounder,112.5,159.0990257669732,3.7313432835820897,0.514403292,TRUE
1030,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,90.56603773584906,,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,13551,37.1,opener,101.88679245283019,203.77358490566039,,,FALSE,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,90.56603773584906,,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,13186,36.1,opener,101.88679245283019,203.77358490566039,,,FALSE,Harshad Khadiwale,Right-arm medium-fast,R,Right-hand bat,R,20/10/88,0,4,54,53,3,2,0,101.88679245283019,,9.433962264150944,90.56603773584906,,,,,,,,4,0,1,FALSE,TRUE,10/20/1988,12820,35.1,opener,101.88679245283019,203.77358490566039,,,FALSE
1031,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,89.13043478260869,,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,14177,38.81,opener,89.13043478,126.04946968977588,,,FALSE,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,89.13043478260869,,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,13812,37.82,opener,89.13043478,126.04946968977588,,,FALSE,Chirag Pathak,,,Left-hand bat,L,2/2/1987,0,2,41,46,4,1,0,89.13043478,,10.869565217391305,89.13043478260869,,,,,,,,2,0,2,FALSE,TRUE,2/2/1987,13446,36.81,opener,89.13043478,126.04946968977588,,,FALSE
1033,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,79.10447761194031,,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14982,41.02,top/middle,138.80597014925374,310.3795849,,,FALSE,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,79.10447761194031,,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14617,40.02,top/middle,138.80597014925374,310.3795849,,,FALSE,Paras Dogra,Right-arm Leg-Break,R,Right-hand bat,R,19/11/84,0,5,93,67,7,7,0,138.80597014925374,,20.895522388059703,79.10447761194031,,,,,,,,5,0,3.8,TRUE,FALSE,11/19/1984,14251,39.02,top/middle,138.80597014925374,310.3795849,,,FALSE
1039,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,38,952,672,91,22,0,141.66666666666666,,16.81547619047619,83.18452380952381,6,109,81,1,8.074074074074074,81,1.2345679012345678,41,0,4,TRUE,FALSE,12/18/1991,12397,33.94,top/middle,141.66666666666666,873.2919837539382,1.2345679012345678,0.1529051987767584,TRUE,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,35,897,625,88,21,0,143.52,,17.44,82.56,4,86,56,1,9.214285714285714,56,1.7857142857142858,38,0,4.026315789473684,TRUE,FALSE,12/18/1991,12032,32.94,top/middle,143.52,849.0757705,1.7857142857142858,0.19379844961240314,TRUE,Mandeep Singh,Right-arm offbreak,R,Right-hand bat,R,18/12/91,0,23,539,386,56,11,0,139.63730569948186,,17.357512953367877,82.64248704663213,,,,,,,,26,0,4.076923076923077,TRUE,FALSE,12/18/1991,11666,31.94,top/middle,139.63730569948186,669.6769925,,,TRUE
1040,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,23,669,517,66,21,0,129.40038684719536,,16.827852998065765,83.17214700193423,,,,,,,,23,0,4.695652173913044,TRUE,FALSE,8/11/1991,12526,34.29,top/middle,129.40038684719536,620.5824543706401,,,TRUE,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,10,270,224,25,7,0,120.53571428571429,,14.285714285714286,85.71428571428572,,,,,,,,10,0,4.4,TRUE,FALSE,8/11/1991,12161,33.3,top/middle,120.53571428571429,381.1673965381529,,,TRUE,Harpreet Singh,Right-arm offbreak,R,Left-hand bat,L,11/8/1991,0,7,191,160,21,4,0,119.375,,15.625,84.375,,,,,,,,7,0,3.7142857142857144,TRUE,FALSE,8/11/1991,11795,32.29,top/middle,119.375,315.8365627583355,,,TRUE
1045,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,72.72727272727273,1,38,18,0,12.666666666666666,,0,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14802,40.53,finisher,190.9090909090909,330.6642450813311,0,0,TRUE,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,72.72727272727273,1,38,18,0,12.666666666666666,,0,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14437,39.53,finisher,190.9090909090909,330.6642450813311,0,0,TRUE,David Wiese,Right-arm medium-fast,R,Right-hand bat,R,18/05/85,0,3,21,11,0,3,0,190.9090909090909,,27.272727272727273,72.72727272727273,1,38,18,0,12.666666666666666,,0,3,0,7.666666666666667,FALSE,TRUE,5/18/1985,14071,38.52,finisher,190.9090909090909,330.6642450813311,0,0,TRUE
1063,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,80.80000000000001,,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14756,40.4,top/middle,133.2,399.59999999999997,,,FALSE,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,80.80000000000001,,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14391,39.4,top/middle,133.2,399.59999999999997,,,FALSE,Colin Ingram,Right-arm Leg-Break,R,Left-hand bat,L,3/7/1985,0,9,333,250,36,12,0,133.2,,19.2,80.80000000000001,,,,,,,,9,0,2.5555555555555554,FALSE,TRUE,7/3/1985,14025,38.4,top/middle,133.2,399.59999999999997,,,FALSE
107,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,84.21052631578947,5,69,66,5,6.2727272727272725,13.2,7.575757575757576,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,16476,45.11,finishing allrounder,126.3157894736842,334.20016560815884,7.575757575757576,1.2077294685990339,FALSE,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,84.21052631578947,5,69,66,5,6.2727272727272725,13.2,7.575757575757576,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,16111,44.11,finishing allrounder,126.3157894736842,334.20016560815884,7.575757575757576,1.2077294685990339,FALSE,Mohammad Hafeez,Right-arm offbreak,R,Right-hand bat,R,17/10/80,0,7,96,76,9,3,0,126.3157894736842,,15.789473684210526,84.21052631578947,5,69,66,5,6.2727272727272725,13.2,7.575757575757576,11,0,5.090909090909091,FALSE,TRUE,10/17/1980,15745,43.11,finishing allrounder,126.3157894736842,334.20016560815884,7.575757575757576,1.2077294685990339,FALSE
