player_id,player_name,final_cap_prob,cap_prob_calibrated_age,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bowling_wickets,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
5680,R Sonu Yadav,0.760138173,0.941176471,0.035984984,finishing allrounder,537,80,49,26.04,4.856860288,16.2,-0.6
3451,Baba Indrajith,0.750302908,0.890410959,0.189870704,top/middle,1086,,50,31.39,2.013965075,45.3,
20802,Abdul Basith,0.725789094,0.890410959,0.067301633,finishing allrounder,722,28,45,27.13,5.669537109,80.4,1.5
4486,BR Sharath,0.72157411,0.890410959,0.046226715,top/middle,964,,43,29.16,2.025322365,65.3,
6494,Manoj Bhandage,0.717852787,0.890410959,0.027620097,finishing allrounder,603,35,43,27.14,3.10098294,-54.1,1.5
6526,Himmat Singh,0.717195852,0.890410959,0.024335424,top/middle,1038,9,41,29.05,3.24243512,94.3,5
3281,Mosaddek Hossain,0.71638879,0.890410959,0.020300114,finishing allrounder,528,24,48,29.96,2.236668102,-11.2,0.2
43774,Shivam Singh,0.715966739,0.890410959,0.018189862,top/middle,1049,0,29,30.01,1.957202019,86.6,
20023,Karan Sharma,0.713222023,0.890410959,0.004466282,opener,1495,13,47,27.07,2.946720068,91.1,1.1
6321,Shubhang Hegde,0.712809675,0.890410959,0.00240454,finishing allrounder,683,59,50,24.66,1.343367458,3.7,0.7
4077,KL Shrijith,0.712667844,0.890410959,0.001695387,top/middle,1489,1,53,29.29,3.469988906,7.3,
2790,Praveen Dubey,0.609833926,0.756849315,0.02177237,finishing allrounder,487,31,38,32.41,2.360837177,42.68571429,1
5659,Abhishek Tanwar,0.605535788,0.756849315,0.000281679,finishing allrounder,323,61,40,34.11,2.662872576,-13.1,0.3
5769,Codanda Karthik,0.605530105,0.756849315,0.000253265,batting allrounder,552,49,36,32.13,4.555410797,9.8,-2.5
6237,Manimaran Siddharth,0.587961527,0.625,0.439807637,finishing allrounder,48,52,51,27.4,2.169699949,-0.2,-1.5
20327,Usman Khan,0.562873366,0.625,0.314366832,top/middle,849,,37,30.55,3.319843991,19,
2218,Anamul Haque,0.556524635,0.695454545,0.000804992,top/middle,1282,,50,32.94,2.580377357,12,
6643,Hasan Mahmud,0.532363884,0.625,0.161819419,finishing allrounder,50,64,54,28.79,2.010228049,10,4
7696,Mohammad Wasim,0.507229179,0.625,0.036145896,finishing allrounder,101,43,36,24.25,1.505618135,6.3,1.1
2257,Chirag Jani,0.504502524,0.623287671,0.029361935,finishing allrounder,580,61,39,36.05,1.796496801,15.3,3
5882,Afif Hossain,0.503765758,0.625,0.01882879,top/middle,1533,4,77,26.18,2.53753154,-8.5,-8.78E-18
6452,Harsh Tyagi,0.503583379,0.625,0.017916896,batting allrounder,540,24,43,25.9,3.163890001,29,3.2
27970,Gurnoor Singh,0.502267515,0.625,0.011337575,finishing allrounder,92,32,24,25.51,1.111312493,14,14
6554,Salman Nizar,0.50189471,0.625,0.009473551,top/middle,1458,1,44,28.41,3.2097941,113.4285714,
4325,Ashwin Hebbar,0.501455288,0.625,0.007276439,opener,1164,0,31,30.03,4.163762527,96.3,
45989,Swastik Chikara,0.500953977,0.625,0.004769884,opener,1388,0,36,25.9,3.851780983,-49.5,0
6463,Shiva Singh,0.500871027,0.625,0.004355134,finishing allrounder,358,24,41,26.11,4.376000247,23.8,1.2
20020,Abhishek Goswami,0.500519066,0.625,0.00259533,opener,974,,34,28.05,4.66757406,-132.5,
7721,NS Harish,0.500231284,0.625,0.001156419,finishing allrounder,223,23,35,27.79,2.351976412,25,-1.4
5957,Rohan Kunnummal,0.500222547,0.625,0.001112734,opener,1401,,41,27.55,5.224950004,150.7,
4747,Mohammed Azharuddeen,0.500077693,0.625,0.000388464,top/middle,1214,,36,31.68,1.484635324,57.8,
19700,Prince Yadav,0.50006294,0.625,0.000314701,finishing allrounder,627,21,34,27.9,7.443049763,-80.5,4.5
7134,Luvnith Sisodia,0.500036033,0.625,0.000180167,opener,1314,,44,25.86,6.264600087,-54.4,
4543,Jagatheesan Kousik,0.500032518,0.625,0.000162592,batting allrounder,774,16,37,30.51,10.68736127,12.4,-3.2
4783,Zakir Hasan,0.500013706,0.625,6.85E-05,top/middle,902,,43,27.82,10.97806598,99,
2862,Sachin Baby,0.499009769,0.623287671,0.00189816,batting allrounder,1579,18,45,36.94,3.168797387,109.5,0.628571429
6971,Saravana Kumar P,0.498806532,0.623287671,0.000881976,finishing allrounder,193,50,37,36.25,3.876373833,-10.4,-0.7
1600,Benny Howell,0.45830238,0.572727273,0.000602807,finishing allrounder,449,16,23,37.14,6.035549433,11,3.5
2213,Soumya Sarkar,0.425457531,0.53125,0.002287657,top/middle,844,9,53,32.75,5.81348213,27.1,0.1
4056,Ritesh Bhatkal,0.425143575,0.53125,0.000717876,finishing allrounder,210,26,34,32.53,4.286965317,-14.57142857,-0.285714286
