player_id,player_name,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
6378,Mehjoor Sofi,0.989611056,0.841169398,finisher,,,,,,1,34.62,,,
59069,Safiqul Islam,0.807551342,0.807551342,finishing allrounder,,,,2,5.014925373,5,18.21,,,
47774,Dipesh Parwani,0.803258536,0.803258536,finishing allrounder,1,,25,12,7.59375,10,25.87,0.567520525,-0.5,4
42850,Omkar Akhade,0.769372184,0.769372184,finisher,,,,1,10,1,25.9,,,
4618,Chaitanya Bishnoi,0.761963731,0.761963731,opener,118,,131.1111111,,,4,31.26,3.266057506,-84,
8614,William ORourke,0.679577859,0.679577859,finishing allrounder,,,,11,7.969230769,8,24.31,,,
54901,Bhargab Das,0.669684742,0.669684742,top/middle,73,,74.48979592,,,5,18.6,74.48979592,,
28021,Saurabh Dubey,0.634535285,0.634535285,finishing allrounder,11,,55,8,7.608695652,7,27.84,55,,
39500,Ganesh Masurkar,0.629942251,0.629942251,finisher,,,,,,1,25.9,,,
38633,Jitendra Paliwal,0.629942251,0.629942251,finisher,,,,,,1,25.9,,,
5557,Tom Moores,0.602770788,0.602770788,finisher,67,,100,,,6,29.23,1.627137185,-17,
37360,M Viju Arul,0.577051213,0.577051213,finishing allrounder,2,,40,5,12.09230769,5,31.5,40,,-0.5
3532,Sachin Chaudhari,0.793448875,0.555414213,finishing allrounder,,,,0,7.384615385,3,39.67,,,
49665,Prince Choudhary,0.553337117,0.553337117,finishing allrounder,1,,50,2,10.77272727,5,26.16,50,,
33097,Amogh S,0.540552851,0.540552851,finisher,,,,1,13.84615385,1,29.36,,,
6273,Tom Banton,0.531331064,0.531331064,top/middle,224,,151.3513514,,,14,27.04,2.386723048,-20,
46064,Puneet Chaudhary,0.520895004,0.520895004,finisher,0,,0,1,9.857142857,1,25.9,0,,
6413,Siddhesh Wath,0.519129132,0.519129132,opener,192,,126.3157895,,,8,28.4,5.695080333,10,
7704,Paven Rathnayake,0.490268889,0.490268889,finisher,97,,107.7777778,,,6,23.26,107.7777778,,
6468,Rajesh Dhuper,0.483129458,0.483129458,top/middle,281,,129.4930876,,,15,25.98,4.026594722,12.77142857,
19315,Vijayakanth Viyaskanth,0.473087342,0.473087342,finishing allrounder,26,,81.25,11,7.172413793,12,23.98,1.136674881,-7.5,3.14E-16
7559,Avnish Dhaliwal,0.534273538,0.454132507,top/middle,125,,113.6363636,,,6,33.2,3.560206039,65,
47731,Ayush Awasthi,0.446262794,0.446262794,batting allrounder,101,,146.3768116,0,2.571428571,6,19.02,2.895742425,-32.5,
6237,Manimaran Siddharth,0.439807637,0.439807637,finishing allrounder,48,,92.30769231,52,5.668085106,51,27.4,2.169699949,-0.2,-1.5
19894,Mitchell Hay,0.42872113,0.42872113,finisher,87,,124.2857143,,,11,25.27,2.239729433,-1,
1089,Shafiul Islam,0.606905776,0.424834043,finishing allrounder,3,,33.33333333,5,9.664122137,7,36.14,0.712566048,,1
34979,Elligaram Sanketh,0.422144562,0.422144562,finisher,,,,,,2,26.14,,,
24941,Anurag Talukdar,0.407973281,0.407973281,finisher,222,,173.4375,,,9,27.93,11.80072372,-13,
28438,Hrishikesh Das,0.407708806,0.407708806,finisher,28,,215.3846154,,,3,19.11,215.3846154,,
3758,Lukman Meriwala,0.47276446,0.401849791,finishing allrounder,,,,41,7.714285714,31,33.96,,,
1991,Pawan Negi,0.459525068,0.390596308,finishing allrounder,,,,0,10.88888889,3,32.89,,,
1816,Robin Bist,0.553894362,0.387726054,finisher,67,,93.05555556,,,5,38.07,1.701056978,,
6815,Rakesh Prabhu,0.541547455,0.379083218,finishing allrounder,0,,0,4,8.448979592,2,38.92,0,,
26837,Ravi Kumar,0.376716913,0.376716913,finishing allrounder,6,,66.66666667,15,8.890243902,9,22.08,66.66666667,,2.142857143
7496,Ekant Sen,0.367302248,0.367302248,finisher,154,,120.3125,,,10,30.43,3.080025466,27,
28967,Tim Robinson,0.362425888,0.362425888,opener,455,,136.2275449,,,21,23.58,2.95381464,179,
56685,Abdullah Ahmadzai,0.362206953,0.362206953,finishing allrounder,1,,16.66666667,3,9.402985075,4,,0.660408825,,
1195,Ben Stokes,0.42297115,0.359525478,batting allrounder,48,,100,1,8.461538462,6,34.48,1.70422378,7.5,-7.85E-17
54182,Vivek Yadav,0.358985999,0.358985999,finisher,34,,121.4285714,,,5,18.81,121.4285714,,
4874,Richard Ngarava,0.357519759,0.357519759,finishing allrounder,8,,61.53846154,14,7.380753138,10,27.91,1.536348346,4,-6
